,,,,,,,,,,,,,,,,
,Plan,Semestre,Tipo,Código,Asignatura,Sección,Tope,Aula,Docente,Nº DE HORAS,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SÁBADO
,2004,Ciclo 10,O,131504B,SEMINARIO II - TEORÍA,U,20,111,FERNANDO MÁRQUEZ  PACHAS (T),3,19-21,,,,,
,2004,Ciclo 10,O,131504B,SEMINARIO II - PRÁCTICA,U,20,111,FERNANDO MÁRQUEZ  PACHAS (P),4,,,,,   16-20,
,2004,Ciclo 10 - Elec (AREA B),E,131541,FÍSICA NUCLEAR II - TEORÍA,U,20,109,JORGE BRAVO CABREJOS(T),3,10-13,,,,,
,2004,Ciclo 10 - Elec (AREA B),E,131541,FÍSICA NUCLEAR II - PRÁCTICA,U,20,109,JORGE BRAVO CABREJOS (P),2,,,11-13,,,
,2004,Ciclo 10 - Elec (AREA B),E,131541,FÍSICA NUCLEAR II - LABORATORIO,U,20,109,JORGE BRAVO CABREJOS (L),2,,,,,10-12,
,2004,Ciclo 10 - Elec (AREA B),E,131543,FÍSICA MEDICA - TEORÍA,U,20,217,NAVOR FIGUEROA JAMANCA  (T),4,,,,,,8-12
,2004,Ciclo 10 - Elec (AREA B),E,131543,FÍSICA MEDICA - PRÁCTICA,U,20,217,NAVOR FIGUEROA JAMANCA  (P),2,,,,,,12-14
,2004,Ciclo 7,O,131413,ELECTROMAGNETISMO II - TEORÍA,U,20,313,FULGENCIO VILLEGAS SILVA (T),4,,14-17,,14-15,,
,2004,Ciclo 7,O,131413,ELECTROMAGNETISMO II - PRÁCTICA,U,20,313,FULGENCIO VILLEGAS SILVA  (P),2,,,,15-17,,
,2004,Ciclo 8,O,131412,FÍSICA DEL ESTADO SÓLIDO I - TEORÍA,U,25,?,,4,8-10,,8-10,,,
,2004,Ciclo 8,O,131412,FÍSICA DEL ESTADO SÓLIDO I - PRÁCTICA,U,25,?,,2,,,,,8-10,
,2004,Ciclo 9 Area A,O,131505A,SEMINARIO I - TEORÍA,U,20,313,WHAULKUER ENRIQUE LOZANO BARTRA (T),3,10-13,,,,,
,2004,Ciclo 9 Area A,O,131505A,SEMINARIO I - PRÁCTICA,U,20,313,WHUARKUER ENRIQUE LOZANO BARTRA (P),4,,,10-14,,,
,2004,Ciclo 9 Area A,O,131507,METODOLOGÍA DE LA ENSEÑANZA EN FÍSICA  - TEORÍA,U,20,109,JULIO FABIÁN SALVADOR (T),2,,,,8-10,,
,2004,Ciclo 9 Area A,O,131507,METODOLOGÍA DE LA ENSEÑANZA EN FÍSICA  - PRÁCTICA,U,20,109,JULIO FABIÁN SALVADOR (P),2,,,,,,10-12
,2004,Ciclo 9 Area A,O,131503,ELABORACIÓN Y EVALUACIÓN DE PROYECTOS - TEORÍA,U,20,313,CHACHI ROJAS AYALA (T),2,19-21,,,,,
,2004,Ciclo 9 Area A,O,131503,ELABORACIÓN Y EVALUACIÓN DE PROYECTOS - PRÁCTICA,U,20,315,CHACHI ROJAS AYALA (P),2,,,,,   18-20,
,2004,Ciclo 9 Area A,E,131509,ESPECTROSCOPIA DE RAYOS X - TEORÍA,U,25,Laboratorio,JUSTINIANO QUISPE MARCATOMA (T),2,,8-10,,,,
,2004,Ciclo 9 Area A,E,131509,ESPECTROSCOPIA DE RAYOS X - PRÁCTICA,U,25,Laboratorio,JUSTINIANO QUISPE MARCATOMA (P),3,,,,8-11,,
,2004,Ciclo 9 Area A,E,131509,ESPECTROSCOPIA DE RAYOS X - LABORATORIO,U,25,Laboratorio,JUSTINIANO QUISPE MARCATOMA (L),3,,,,,8-11,
,2004,Ciclo 9 Area A,E,131513,FÍSICA DEL ESTADO SÓLIDO II - TEORÍA,U,20,111,CARLOS VLADIMIR LANDAURO SÁENZ  (T),4,13-17,,,,,
,2004,Ciclo 9 Area A,E,131513,FÍSICA DEL ESTADO SÓLIDO II - PRÁCTICA,U,20,111,CARLOS VLADIMIR LANDAURO SÁENZ  (P),2,,,14-16,,,
,2004,Ciclo 9 Area A,E,131515,TÓPICOS AVANZADOS  I  - TEORÍA,U,20,313,JAIME FRANCISCO VENTO FLORES(T),3,,11-14,,,,
,2004,Ciclo 9 Area A,E,131515,TÓPICOS AVANZADOS  I  - PRÁCTICA,U,20,313,JAIME FRANCISCO VENTO FLORES(T),2,,,,11-13,,
,2004,Ciclo 10 Area A,O,131506,PRACTICA PRE-PROFESIONAL - TEORÍA,U,20,Lab. Optica,WHAULKUER ENRIQUE LOZANO BARTRA (T),,,,,,,
,2004,Ciclo 10 Area A,O,131506,PRACTICA PRE-PROFESIONAL - PRÁCTICA,U,20,Lab. Optica,WHUARKUER ENRIQUE LOZANO BARTRA (P),6,8-10,,8-10,,14-16,
,2004,Ciclo 9 Area B,O,131503,ELABORACIÓN Y EVALUACIÓN DE PROYECTOS - TEORÍA,U,20,313,CHACHI ROJAS AYALA (T),2,19-21,,,,,
,2004,Ciclo 9 Area B,O,131503,ELABORACIÓN Y EVALUACIÓN DE PROYECTOS - PRÁCTICA,U,20,315,CHACHI ROJAS AYALA (P),2,,,,,   18-20,
,2004,Ciclo 9 Area B,O,131507,Metodología de la Enseñanza en Física  - TEORÍA,U,20,109,JULIO FABIÁN SALVADOR (T),2,,,,8-10,,
,2004,Ciclo 9 Area B,O,131507,Metodología de la Enseñanza en Física  - PRÁCTICA,U,20,109,JULIO FABIÁN SALVADOR (P),2,,,,,,10-12
,2004,Ciclo 9 Area B,O,131505B,SEMINARIO I - TEORÍA,U,20,313,WHAULKUER ENRIQUE LOZANO BARTRA (T),3,10-13,,,,,
,2004,Ciclo 9 Area B,O,131505B,SEMINARIO I - PRÁCTICA,U,20,313,WHUARKUER ENRIQUE LOZANO BARTRA (P),4,,,10-14,,,
,2004,Ciclo 9 Area B,E,131545,TÓPICOS AVANZADOS I  - TEORÍA,1,20,217,JORGE ENRIQUE BRAVO CABREJOS  (T),3,,10-13,,,,
,2004,Ciclo 9 Area B,E,131545,TÓPICOS AVANZADOS I  - PRÁCTICA,1,20,217,JORGE ENRIQUE BRAVO CABREJOS (P),2,,,,10-12,,
,2004,Ciclo 9 Area B,E,131546,FÍSICA DE ALTAS ENERGÍAS  - TEORÍA,U,20,315,CARLOS SOLANO SALINAS (T),3,16-19,,,,,
,2004,Ciclo 9 Area B,E,131546,FÍSICA DE ALTAS ENERGÍAS  - PRÁCTICA,U,20,315, CARLOS SOLANO SALINAS (P),2,,,16-18,,,
,2004,Ciclo 9 Area B,E,131541,FÍSICA NUCLEAR II - TEORÍA,U,20,109,JORGE ENRIQUE BRAVO CABREJOS  (T),2,11-13,,,,,
,2004,Ciclo 9 Area B,E,131541,FÍSICA NUCLEAR II - PRÁCTICA,U,20,109,JORGE ENRIQUE BRAVO CABREJOS (P),2,,,11-13,,,
,2004,Ciclo 9 Area B,E,131541,FÍSICA NUCLEAR II - LABORATORIO,U,20,109,JORGE ENRIQUE BRAVO CABREJOS  (L),2,,,,,10-12,
,2004,Ciclo 9 Area B,E,131511,OPTICA FISICA - TEORÍA,U,20,215,RENATO TOVAR LANDEO  (T),3,,,,14-17,,
,2004,Ciclo 9 Area B,E,131511,OPTICA FISICA - PRÁCTICA,U,20,215,RENATO TOVAR LANDEO  (P),2,,14-16,,,,
,2004,Ciclo 10 Area B,o,131506,PRACTICA PRE-PROFESIONAL - TEORÍA,U,20,Lab. Optica,WHAULKUER ENRIQUE LOZANO BARTRA (T),,,,,,,
,2004,Ciclo 10 Area B,o,131506,PRACTICA PRE-PROFESIONAL - PRÁCTICA,U,20,Lab. Optica,WHUARKUER ENRIQUE LOZANO BARTRA (P),6,8-10,,8-10,,14-16,
